Team,Player,URL
Manchester United,Zlatan Ibrahimović,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455
Manchester United,James Wilson,https://www.transfermarkt.co.uk/james-wilson/profil/spieler/214104
Manchester United,Zak Dearnley,https://www.transfermarkt.co.uk/zak-dearnley/profil/spieler/396284
Liverpool FC,Simon Mignolet,https://www.transfermarkt.co.uk/simon-mignolet/profil/spieler/50219
Liverpool FC,Loris Karius,https://www.transfermarkt.co.uk/loris-karius/profil/spieler/85864
Liverpool FC,Danny Ward,https://www.transfermarkt.co.uk/danny-ward/profil/spieler/203026
Liverpool FC,Ádám Bogdán,https://www.transfermarkt.co.uk/adam-bogdan/profil/spieler/55247
Liverpool FC,Alexander Manninger,https://www.transfermarkt.co.uk/alexander-manninger/profil/spieler/5278
Liverpool FC,Joel Matip,https://www.transfermarkt.co.uk/joel-matip/profil/spieler/82105
Liverpool FC,Dejan Lovren,https://www.transfermarkt.co.uk/dejan-lovren/profil/spieler/37838
Liverpool FC,Mamadou Sakho,https://www.transfermarkt.co.uk/mamadou-sakho/profil/spieler/47713
Liverpool FC,Joe Gomez,https://www.transfermarkt.co.uk/joe-gomez/profil/spieler/256178
Liverpool FC,Ragnar Klavan,https://www.transfermarkt.co.uk/ragnar-klavan/profil/spieler/26669
Liverpool FC,Alberto Moreno,https://www.transfermarkt.co.uk/alberto-moreno/profil/spieler/207917
Liverpool FC,Nathaniel Clyne,https://www.transfermarkt.co.uk/nathaniel-clyne/profil/spieler/85177
Liverpool FC,Jon Flanagan,https://www.transfermarkt.co.uk/jon-flanagan/profil/spieler/145922
Liverpool FC,Andre Wisdom,https://www.transfermarkt.co.uk/andre-wisdom/profil/spieler/128912
Liverpool FC,Trent Alexander-Arnold,https://www.transfermarkt.co.uk/trent-alexander-arnold/profil/spieler/314353
Liverpool FC,Connor Randall,https://www.transfermarkt.co.uk/connor-randall/profil/spieler/262545
Liverpool FC,Emre Can,https://www.transfermarkt.co.uk/emre-can/profil/spieler/119296
Liverpool FC,Lucas Leiva,https://www.transfermarkt.co.uk/lucas-leiva/profil/spieler/41414
Liverpool FC,Marko Grujić,https://www.transfermarkt.co.uk/marko-grujic/profil/spieler/222813
Liverpool FC,Kevin Stewart,https://www.transfermarkt.co.uk/kevin-stewart/profil/spieler/200782
Liverpool FC,MJ Williams,https://www.transfermarkt.co.uk/mj-williams/profil/spieler/279454
Liverpool FC,Paulinho,https://www.transfermarkt.co.uk/paulinho/profil/spieler/372670
Liverpool FC,Georginio Wijnaldum,https://www.transfermarkt.co.uk/georginio-wijnaldum/profil/spieler/49499
Liverpool FC,Jordan Henderson,https://www.transfermarkt.co.uk/jordan-henderson/profil/spieler/61651
Liverpool FC,James Milner,https://www.transfermarkt.co.uk/james-milner/profil/spieler/3333
Liverpool FC,Ovie Ejaria,https://www.transfermarkt.co.uk/ovie-ejaria/profil/spieler/337284
Liverpool FC,Philippe Coutinho,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444
Liverpool FC,Adam Lallana,https://www.transfermarkt.co.uk/adam-lallana/profil/spieler/43530
Liverpool FC,Ben Woodburn,https://www.transfermarkt.co.uk/ben-woodburn/profil/spieler/344015
Liverpool FC,Sadio Mané,https://www.transfermarkt.co.uk/sadio-mane/profil/spieler/200512
Liverpool FC,Lazar Markovic,https://www.transfermarkt.co.uk/lazar-markovic/profil/spieler/144303
Liverpool FC,Sheyi Ojo,https://www.transfermarkt.co.uk/sheyi-ojo/profil/spieler/236510
Liverpool FC,Harry Wilson,https://www.transfermarkt.co.uk/harry-wilson/profil/spieler/279455
Liverpool FC,Roberto Firmino,https://www.transfermarkt.co.uk/roberto-firmino/profil/spieler/131789
Liverpool FC,Daniel Sturridge,https://www.transfermarkt.co.uk/daniel-sturridge/profil/spieler/47082
Liverpool FC,Divock Origi,https://www.transfermarkt.co.uk/divock-origi/profil/spieler/148368
Liverpool FC,Danny Ings,https://www.transfermarkt.co.uk/danny-ings/profil/spieler/134294
Liverpool FC,Rhian Brewster,https://www.transfermarkt.co.uk/rhian-brewster/profil/spieler/406560
Everton FC,Joel Robles,https://www.transfermarkt.co.uk/joel-robles/profil/spieler/101118
Everton FC,Maarten Stekelenburg,https://www.transfermarkt.co.uk/maarten-stekelenburg/profil/spieler/4311
Everton FC,Mateusz Hewelt,https://www.transfermarkt.co.uk/mateusz-hewelt/profil/spieler/318547
Everton FC,Ramiro Funes Mori,https://www.transfermarkt.co.uk/ramiro-funes-mori/profil/spieler/11111
Everton FC,Ashley Williams,https://www.transfermarkt.co.uk/ashley-williams/profil/spieler/67355
Everton FC,Mason Holgate,https://www.transfermarkt.co.uk/mason-holgate/profil/spieler/348623
Everton FC,Brendan Galloway,https://www.transfermarkt.co.uk/brendan-galloway/profil/spieler/208244
Everton FC,Phil Jagielka,https://www.transfermarkt.co.uk/phil-jagielka/profil/spieler/13520
Everton FC,Tyias Browning,https://www.transfermarkt.co.uk/tyias-browning/profil/spieler/156934
Everton FC,Matthew Pennington,https://www.transfermarkt.co.uk/matthew-pennington/profil/spieler/220755
Everton FC,Leighton Baines,https://www.transfermarkt.co.uk/leighton-baines/profil/spieler/13507
Everton FC,Bryan Oviedo,https://www.transfermarkt.co.uk/bryan-oviedo/profil/spieler/124983
Everton FC,Luke Garbutt,https://www.transfermarkt.co.uk/luke-garbutt/profil/spieler/110860
Everton FC,Séamus Coleman,https://www.transfermarkt.co.uk/seamus-coleman/profil/spieler/68390
Everton FC,Jonjoe Kenny,https://www.transfermarkt.co.uk/jonjoe-kenny/profil/spieler/258883
Everton FC,Morgan Schneiderlin,https://www.transfermarkt.co.uk/morgan-schneiderlin/profil/spieler/56818
Everton FC,Idrissa Gueye,https://www.transfermarkt.co.uk/idrissa-gueye/profil/spieler/126665
Everton FC,Muhamed Besic,https://www.transfermarkt.co.uk/muhamed-besic/profil/spieler/93905
Everton FC,Gareth Barry,https://www.transfermarkt.co.uk/gareth-barry/profil/spieler/3291
Everton FC,Ross Barkley,https://www.transfermarkt.co.uk/ross-barkley/profil/spieler/131978
Everton FC,James McCarthy,https://www.transfermarkt.co.uk/james-mccarthy/profil/spieler/45333
Everton FC,Tom Cleverley,https://www.transfermarkt.co.uk/tom-cleverley/profil/spieler/73484
Everton FC,Tom Davies,https://www.transfermarkt.co.uk/tom-davies/profil/spieler/314210
Everton FC,Darron Gibson,https://www.transfermarkt.co.uk/darron-gibson/profil/spieler/42413
Everton FC,Joe Williams,https://www.transfermarkt.co.uk/joe-williams/profil/spieler/268185
Everton FC,Yannick Bolasie,https://www.transfermarkt.co.uk/yannick-bolasie/profil/spieler/75471
Everton FC,Aiden McGeady,https://www.transfermarkt.co.uk/aiden-mcgeady/profil/spieler/21333
Everton FC,Kevin Mirallas,https://www.transfermarkt.co.uk/kevin-mirallas/profil/spieler/33639
Everton FC,Aaron Lennon,https://www.transfermarkt.co.uk/aaron-lennon/profil/spieler/14221
Everton FC,Ademola Lookman,https://www.transfermarkt.co.uk/ademola-lookman/profil/spieler/406040
Everton FC,Shani Tarashaj,https://www.transfermarkt.co.uk/shani-tarashaj/profil/spieler/184381
Everton FC,Romelu Lukaku,https://www.transfermarkt.co.uk/romelu-lukaku/profil/spieler/96341
